shark,temp,pco2,group,activity
Cm39,28C,650uatm,a,0.095430418
Cm40,28C,650uatm,a,0.08802672
Cm41,28C,650uatm,a,0.095808062
Cm38,31C,650uatm,b,0.118382229
Cm37,31C,650uatm,b,0.087871111
Cm36,31C,650uatm,b,0.096621181
Cm45,28C,1050uatm,c,0.088983975
Cm44,28C,1050uatm,c,0.09478046
Cm46,28C,1050uatm,c,0.060537743
Cm49,31C,1050uatm,d,0.083650939
Cm47,31C,1050uatm,d,0.139048168
Cm48,31C,1050uatm,d,0.086390357
Cm54,28C,650uatm,e,0.088409689
Cm50,28C,650uatm,e,0.086121115
Cm55,28C,650uatm,e,0.076103465
Cm56,31C,650uatm,f,0.078537622
Cm58,31C,650uatm,f,0.08895204
Cm57,31C,650uatm,f,0.085251527
Cm61,28C,1050uatm,g,0.068988071
Cm59,28C,1050uatm,g,0.080816643
Cm60,28C,1050uatm,g,0.080793128
Cm68,31C,650uatm,h,0.088853165
Cm69,31C,650uatm,h,0.093349239
Cm67,31C,650uatm,h,0.096371482
Cm71,28C,1050uatm,i,0.082731317
Cm70,28C,1050uatm,i,0.086453541
Cm72,28C,1050uatm,i,0.085812734
Cm73,28C,650uatm,j,0.092887835
Cm74,28C,650uatm,j,0.114443636
Cm9,28C,650uatm,j,0.084844096
Cm75,31C,1050uatm,k,0.068604389
Cm76,31C,1050uatm,k,0.087573165
Cm63,31C,1050uatm,k,0.076265556
